all_taxa	xyl1	xyl2	xyl3	tkl1	tal1	PU.	Growth.Rate	phylo_order
phaffomyces antillensis	0.92328969205237	NA	0.547851742577909	0.963602599814299	0.995205605753273	35671	0	255
phaffomyces opuntiae	0.763954402515723	0.826454402515723	0.320361635220126	0.963172288058341	0.98624213836478	35670	0	256
candida orba	0.924839596700275	0.729789184234647	0.23658165207461	0.965536205316224	0.991934005499542	35673	0	257
phaffomyces thermotolerans	0.949685534591195	0.575185820468839	0.297041191258944	0.944349151896322	0.985896702877835	35672	0	258
barnettozyma salicaria	0.964495917979875	0.831213214353522	0.665654072527055	0.973799126637555	0.991076514144674	35048	2.036405683	259
barnettozyma pratensis	0.961411850768105	0.858169440242057	0.429407461594733	0.963240673006584	0.995427944403804	35047	0.163506687	260
wickerhamomyces alni	0.977199281867145	0.849418084153984	0.541831238779174	0.948612354521039	0.996777081468218	35274	0.598666945	261
wickerhamomyces sp._yb_2243	NA	NA	NA	NA	NA	NA	NA	262
wickerhamomyces canadensis	0.94335589597435	0.861239757748486	0.399358745992162	0.964374777342358	0.983101207056639	35639	0.265695786	263
wickerhamomyces hampshirensis	0.936414114275479	0.882321332616873	0.204907755686907	0.960068593826556	0.985849901486656	35268	0.216538714	264
